"task_id","task_name","primary_skill","secondary_skills","complexity_level","estimated_hours","required_experience","productivity_factor","adjusted_hours","team_size","collaboration_required","dependencies","critical_path","skill_learning_curve","ramp_up_hours","resource_notes","alternative_approach","risk_factors","mitigation_strategy","quality_overhead","review_hours","documentation_hours","testing_coordination","integration_overhead"
"TASK-3001","Implement fo-dicom C-STORE SCP Listener Service","fo-dicom",".NET 8,DICOM","High","12.3","Senior","1.2","10.3","1","","TASK-1002","true","Medium","4","Core DICOM ingestion component. Requires specific domain knowledge.","N/A, fo-dicom is required.","DICOM protocol complexities can lead to compatibility issues with different modalities.","Test against a standard DICOM toolkit like DCMTK.","1.8","1.2","0.6","2","1"
"TASK-3002","Integrate SCP with RabbitMQ for Decoupled Processing","fo-dicom","RabbitMQ,C#","Medium","6","Senior","1.2","5","1","","TASK-1003,TASK-3001","true","None","","Key architectural requirement for resilient ingestion.","N/A","If message publication fails, the incoming DICOM file might be lost.","Implement retry logic for publishing and save file to a temporary location until successfully queued.","0.9","0.6","0.3","1","1"
"TASK-3003","Implement DICOM Database Writer Consumer Service","EF Core 8","RabbitMQ,C#,DICOM","High","14.7","Senior","1.2","12.3","1","true","TASK-2001,TASK-3002","true","Low","2","Completes the ingestion pipeline. Logic must be transactional and idempotent.","N/A","Risk of data integrity failure if DB write succeeds but file move fails. See RISK-008.","Make consumer logic idempotent. Move file first, then perform DB transaction with compensating action on failure.","2.2","1.5","0.7","3","2"
"TASK-4001","Prototype DirectX Host Control in WPF","DirectX","WPF,Vortice.Windows,C#","Critical","16.7","Senior","1.2","13.9","1","","TASK-1001","true","High","8","Technical spike to mitigate the highest project risk. Requires specialized graphics programming expertise.","Pivot to SkiaSharp if this spike fails.","High probability of memory leaks, threading issues, and instability. See RISK-001.","Timebox the spike. Focus on stability and memory leak detection over features.","2.5","1.7","2","3",""
"TASK-4002","Implement DICOM Pixel Data to GPU Texture Pipeline","DirectX","fo-dicom,C#","High","14.3","Senior","1.2","11.9","1","","TASK-4001","true","Medium","3","Requires understanding of DICOM pixel data formats and GPU texture formats.","N/A","Performance bottlenecks during texture upload for large series.","Implement asynchronous texture uploading and use progressive loading strategies.","2.1","1.4","0.7","2","1"
"TASK-4003","Develop HLSL Shader and Logic for Window/Level","HLSL","DirectX,C#","Medium","10.3","Senior","1.2","8.6","1","","TASK-4002","true","Medium","4","Core image processing logic executed on the GPU.","Could be done on CPU, but would be much less performant.","Shader bugs can be difficult to debug.","Start with a very simple pass-through shader and add complexity incrementally.","1.5","1","0.5","2","1"
"TASK-4004","Implement Interactive Zoom, Pan, and WW/L Tools","WPF","C#,DirectX,Linear Algebra","Medium","12","Senior","1.2","10","1","","TASK-4003","true","Low","1","Connects user input to the rendering pipeline. Requires understanding of matrix transformations.","N/A","Unresponsive or jerky interactions will lead to poor UX.","Ensure all rendering calculations are off the UI thread. Use performant vector math libraries.","1.8","1.2","0.6","2","1"
"TASK-5001","Implement Print Job Submission Workflow","RabbitMQ","WPF,Named Pipes","Medium","8","Mid","1","8","1","","TASK-1003,TASK-1004","","Low","1","Connects the client to the asynchronous printing backend.","N/A","Failure to check service status could lead to queuing jobs that will never be processed.","Robust error handling for the Named Pipe call.","1.2","0.8","0.4","2","1"
"TASK-5002","Implement Print Job Consumer in Windows Service","Windows Print API","C#,RabbitMQ","High","12.3","Senior","1.2","10.3","1","","TASK-5001","","Medium","4","Complex interaction with unmanaged OS-level printing APIs.","Use a third-party library for printing, but native API is specified.","Printer driver incompatibilities can cause unexpected errors.","Implement robust error handling and logging around all Print API calls. Test with multiple physical and virtual printers.","1.8","1.2","0.6","3","1"
"TASK-6001","Implement System Health Monitoring Service (Backend)","C#",".NET 8,Health Checks","Medium","8.3","Senior","1.2","6.9","1","","TASK-1002","","Low","1","Gathers data for the admin dashboard.","N/A","Polling too frequently could add unnecessary load to the system.","Make the polling interval configurable.","1.2","0.8","0.4","1","0.5"
"TASK-6002","Develop System Health Dashboard UI and Data Fetching","WPF","MVVM","Low","6","Mid","1","6","1","true","TASK-1004,TASK-2005,TASK-6001","","None","","Provides admins with a view into system health.","N/A","Stale data could be misleading.","Include a 'last updated' timestamp on the dashboard.","0.9","0.6","0.3","1","1"
